step   12000 | total 88.267 | gen 1.762 | disc 0.175 | disc_acc 0.944 | rep 0.139 | mtok 23318 | util 0.787 | lr_m 4.99e-04 | lr_c 4.99e-05 | 3.94 step/s | mem 12.7GB
step   12100 | total 87.835 | gen 1.753 | disc 0.174 | disc_acc 0.944 | rep 0.138 | mtok 23295 | util 0.788 | lr_m 4.99e-04 | lr_c 4.99e-05 | 3.98 step/s | mem 12.7GB
step   12200 | total 88.092 | gen 1.758 | disc 0.174 | disc_acc 0.944 | rep 0.138 | mtok 23289 | util 0.788 | lr_m 4.99e-04 | lr_c 4.99e-05 | 3.98 step/s | mem 12.7GB
step   12300 | total 87.978 | gen 1.756 | disc 0.174 | disc_acc 0.944 | rep 0.138 | mtok 23192 | util 0.782 | lr_m 4.99e-04 | lr_c 4.99e-05 | 3.98 step/s | mem 12.7GB
step   12400 | total 87.898 | gen 1.754 | disc 0.173 | disc_acc 0.944 | rep 0.138 | mtok 23327 | util 0.785 | lr_m 4.98e-04 | lr_c 4.98e-05 | 3.99 step/s | mem 12.7GB
step   12500 | total 87.397 | gen 1.744 | disc 0.173 | disc_acc 0.945 | rep 0.137 | mtok 23289 | util 0.787 | lr_m 4.98e-04 | lr_c 4.98e-05 | 3.99 step/s | mem 12.7GB
step   12600 | total 87.064 | gen 1.738 | disc 0.174 | disc_acc 0.944 | rep 0.137 | mtok 23145 | util 0.785 | lr_m 4.98e-04 | lr_c 4.98e-05 | 3.99 step/s | mem 12.7GB
step   12700 | total 86.670 | gen 1.730 | disc 0.173 | disc_acc 0.944 | rep 0.137 | mtok 23173 | util 0.784 | lr_m 4.98e-04 | lr_c 4.98e-05 | 3.99 step/s | mem 12.7GB
step   12800 | total 86.292 | gen 1.722 | disc 0.173 | disc_acc 0.945 | rep 0.136 | mtok 23106 | util 0.785 | lr_m 4.98e-04 | lr_c 4.98e-05 | 3.98 step/s | mem 12.7GB
step   12900 | total 85.943 | gen 1.715 | disc 0.172 | disc_acc 0.945 | rep 0.135 | mtok 23090 | util 0.789 | lr_m 4.98e-04 | lr_c 4.98e-05 | 3.93 step/s | mem 12.7GB
